主管部门、学校名称	专业名称	专业代码	学位授予门类	修业年限	segment	authority	year
四川大学	网络与新媒体	050306T	文学	四年	0	教育部	2015
西安交通大学	网络与新媒体	050306T	文学	四年	0	教育部	2015
北京吉利学院	网络与新媒体	050306T	文学	四年	0	北京市	2015
沧州师范学院	网络与新媒体	050306T	文学	四年	0	河北省	2015
河北外国语学院	网络与新媒体	050306T	文学	四年	0	河北省	2015
山西传媒学院	网络与新媒体	050306T	文学	四年	0	山西省	2015
白城师范学院	网络与新媒体	050306T	文学	四年	0	吉林省	2015
上海杉达学院	网络与新媒体	050306T	文学	四年	0	上海市	2015
泰州学院	网络与新媒体	050306T	文学	四年	0	江苏省	2015
浙江越秀外国语学院	网络与新媒体	050306T	文学	四年	0	浙江省	2015
浙江外国语学院	网络与新媒体	050306T	文学	四年	0	浙江省	2015
安徽理工大学	网络与新媒体	050306T	文学	四年	0	安徽省	2015
滁州学院	网络与新媒体	050306T	文学	四年	0	安徽省	2015
安徽财经大学	网络与新媒体	050306T	文学	四年	0	安徽省	2015
阜阳师范学院信息工程学院	网络与新媒体	050306T	文学	四年	0	安徽省	2015
宁德师范学院	网络与新媒体	050306T	文学	四年	0	福建省	2015
宜春学院	网络与新媒体	050306T	文学	四年	0	江西省	2015
江西科技学院	网络与新媒体	050306T	文学	四年	0	江西省	2015
南昌理工学院	网络与新媒体	050306T	文学	四年	0	江西省	2015
枣庄学院	网络与新媒体	050306T	文学	四年	0	山东省	2015
北京电影学院现代创意媒体学院	网络与新媒体	050306T	文学	四年	0	山东省	2015
郑州大学	网络与新媒体	050306T	文学	四年	0	河南省	2015
平顶山学院	网络与新媒体	050306T	文学	四年	0	河南省	2015
郑州师范学院	网络与新媒体	050306T	文学	四年	0	河南省	2015
湖北理工学院	网络与新媒体	050306T	文学	四年	0	湖北省	2015
湖北科技学院	网络与新媒体	050306T	文学	四年	0	湖北省	2015
湖北经济学院	网络与新媒体	050306T	文学	四年	0	湖北省	2015
三峡大学科技学院	网络与新媒体	050306T	文学	四年	0	湖北省	2015
江汉大学文理学院	网络与新媒体	050306T	文学	四年	0	湖北省	2015
文华学院	网络与新媒体	050306T	文学	四年	0	湖北省	2015
怀化学院	网络与新媒体	050306T	文学	四年	0	湖南省	2015
湖南城市学院	网络与新媒体	050306T	文学	四年	0	湖南省	2015
岭南师范学院	网络与新媒体	050306T	文学	四年	0	广东省	2015
广东金融学院	网络与新媒体	050306T	文学	四年	0	广东省	2015
中山大学南方学院	网络与新媒体	050306T	文学	四年	0	广东省	2015
东莞理工学院城市学院	网络与新媒体	050306T	文学	四年	0	广东省	2015
重庆三峡学院	网络与新媒体	050306T	文学	四年	0	重庆市	2015
长江师范学院	网络与新媒体	050306T	文学	四年	0	重庆市	2015
电子科技大学成都学院	网络与新媒体	050306T	文学	四年	0	四川省	2015
铜仁学院	网络与新媒体	050306T	文学	四年	0	贵州省	2015
云南民族大学	网络与新媒体	050306T	文学	四年	0	云南省	2015
西安外国语大学	网络与新媒体	050306T	文学	四年	0	陕西省	2015
西北政法大学	网络与新媒体	050306T	文学	四年	0	陕西省	2015
西安培华学院	网络与新媒体	050306T	文学	四年	0	陕西省	2015
西北大学现代学院	网络与新媒体	050306T	文学	四年	0	陕西省	2015
兰州城市学院	网络与新媒体	050306T	文学	四年	0	甘肃省	2015
中国矿业大学银川学院	网络与新媒体	050306T	文学	四年	0	宁夏回族自治区	2015
中国政法大学	网络与新媒体	050306T	文学	四年	0	教育部	2016
中国海洋大学	网络与新媒体	050306T	文学	四年	0	教育部	2016
防灾科技学院	网络与新媒体	050306T	文学	四年	0	中国地震局	2016
河北科技大学	网络与新媒体	050306T	文学	四年	0	河北省	2016
保定学院	网络与新媒体	050306T	文学	四年	0	河北省	2016
河北工程技术学院	网络与新媒体	050306T	文学	四年	0	河北省	2016
内蒙古师范大学	网络与新媒体	050306T	文学	四年	0	内蒙古自治区	2016
沈阳城市学院	网络与新媒体	050306T	文学	四年	0	辽宁省	2016
辽宁师范大学海华学院	网络与新媒体	050306T	文学	四年	0	辽宁省	2016
长春大学	网络与新媒体	050306T	文学	四年	0	吉林省	2016
吉林工程技术师范学院	网络与新媒体	050306T	文学	四年	0	吉林省	2016
吉林工商学院	网络与新媒体	050306T	文学	四年	0	吉林省	2016
吉林华桥外国语学院	网络与新媒体	050306T	文学	四年	0	吉林省	2016
上海建桥学院	网络与新媒体	050306T	文学	四年	0	上海市	2016
安徽农业大学经济技术学院	网络与新媒体	050306T	文学	四年	0	安徽省	2016
厦门理工学院	网络与新媒体	050306T	文学	四年	0	福建省	2016
江西师范大学科学技术学院	网络与新媒体	050306T	文学	四年	0	江西省	2016
济宁学院	网络与新媒体	050306T	文学	四年	0	山东省	2016
河南牧业经济学院	网络与新媒体	050306T	文学	四年	0	河南省	2016
武汉纺织大学	网络与新媒体	050306T	文学	四年	0	湖北省	2016
荆楚理工学院	网络与新媒体	050306T	文学	四年	0	湖北省	2016
衡阳师范学院	网络与新媒体	050306T	文学	四年	0	湖南省	2016
湖南财政经济学院	网络与新媒体	050306T	文学	四年	0	湖南省	2016
湖南涉外经济学院	网络与新媒体	050306T	文学	四年	0	湖南省	2016
广东财经大学华商学院	网络与新媒体	050306T	文学	四年	0	广东省	2016
桂林旅游学院	网络与新媒体	050306T	文学	四年	0	广西壮族自治区	2016
贺州学院	网络与新媒体	050306T	文学	四年	0	广西壮族自治区	2016
三亚学院	网络与新媒体	050306T	文学	四年	0	海南省	2016
乐山师范学院	网络与新媒体	050306T	文学	四年	0	四川省	2016
成都学院	网络与新媒体	050306T	文学	四年	0	四川省	2016
滇西科技师范学院	网络与新媒体	050306T	文学	四年	0	云南省	2016
商洛学院	网络与新媒体	050306T	文学	四年	0	陕西省	2016
安康学院	网络与新媒体	050306T	文学	四年	0	陕西省	2016
西京学院	网络与新媒体	050306T	文学	四年	0	陕西省	2016
西安思源学院	网络与新媒体	050306T	文学	四年	0	陕西省	2016
西安财经学院行知学院	网络与新媒体	050306T	文学	四年	0	陕西省	2016
北京交通大学	网络与新媒体	050306T	文学	四年	0	教育部	2017
北京体育大学	网络与新媒体	050306T	文学	四年	0	国家体育总局	2017
中国社会科学院大学	网络与新媒体	050306T	文学	四年	0	中国社会科学院	2017
中华女子学院	网络与新媒体	050306T	文学	四年	0	中华全国妇女联合会	2017
河北民族师范学院	网络与新媒体	050306T	文学	四年	0	河北省	2017
河北东方学院	网络与新媒体	050306T	文学	四年	0	河北省	2017
晋中学院	网络与新媒体	050306T	文学	四年	0	山西省	2017
河套学院	网络与新媒体	050306T	文学	四年	0	内蒙古自治区	2017
大连工业大学艺术与信息工程学院	网络与新媒体	050306T	文学	四年	0	辽宁省	2017
沈阳工学院	网络与新媒体	050306T	文学	四年	0	辽宁省	2017
长春理工大学	网络与新媒体	050306T	文学	四年	0	吉林省	2017
阜阳师范学院	网络与新媒体	050306T	文学	四年	0	安徽省	2017
安徽师范大学皖江学院	网络与新媒体	050306T	文学	四年	0	安徽省	2017
闽江学院	网络与新媒体	050306T	文学	四年	0	福建省	2017
厦门华厦学院	网络与新媒体	050306T	文学	四年	0	福建省	2017
河南大学	网络与新媒体	050306T	文学	四年	0	河南省	2017
黄淮学院	网络与新媒体	050306T	文学	四年	0	河南省	2017
中原工学院信息商务学院	网络与新媒体	050306T	文学	四年	0	河南省	2017
河南师范大学新联学院	网络与新媒体	050306T	文学	四年	0	河南省	2017
湖北工程学院	网络与新媒体	050306T	文学	四年	0	湖北省	2017
湖南人文科技学院	网络与新媒体	050306T	文学	四年	0	湖南省	2017
汕头大学	网络与新媒体	050306T	文学	四年	0	广东省	2017
中山大学新华学院	网络与新媒体	050306T	文学	四年	0	广东省	2017
西南政法大学	网络与新媒体	050306T	文学	四年	0	重庆市	2017
重庆工商大学派斯学院	网络与新媒体	050306T	文学	四年	0	重庆市	2017
西昌学院	网络与新媒体	050306T	文学	四年	0	四川省	2017
西南财经大学天府学院	网络与新媒体	050306T	文学	四年	0	四川省	2017
四川电影电视学院	网络与新媒体	050306T	文学	四年	0	四川省	2017
贵州大学明德学院	网络与新媒体	050306T	文学	四年	0	贵州省	2017
红河学院	网络与新媒体	050306T	文学	四年	0	云南省	2017
云南师范大学文理学院	网络与新媒体	050306T	文学	四年	0	云南省	2017
云南经济管理学院	网络与新媒体	050306T	文学	四年	0	云南省	2017
西安工业大学	网络与新媒体	050306T	文学	四年	0	陕西省	2017
河西学院	网络与新媒体	050306T	文学	四年	0	甘肃省	2017
天水师范学院	网络与新媒体	050306T	文学	四年	0	甘肃省	2017
青海师范大学	网络与新媒体	050306T	文学	四年	0	青海省	2017
塔里木大学	网络与新媒体	050306T	文学	四年	0	新疆生产建设兵团	2017
